"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Was the COVID pandemic manufactured to sell vaccines and promote fear in order to control our behavior and our voti… https://t.co/CgzKyvTCcD",FALSE,1,NA,2021-12-06 13:59:41,TRUE,NA,"1467856274675089413",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScallyNancy",0,FALSE,FALSE,NA,NA
"RT @HubBucket: @NPR @Rosenchild 🇺🇸 Find a #Vaccine Site Near You!

🖥️  https://t.co/J6GTYTHFTm

✅ Get FULLY #Vaccinated against:

✔️ #COVID…",FALSE,0,NA,2021-12-06 13:59:30,FALSE,NA,"1467856228009316353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProsumerSoft",3,TRUE,FALSE,NA,NA
"Clear reminder that #COVID19 is far from over. All regional counties with R&gt;1 and incidence rates that are rising q… https://t.co/oayXSPlI0b",FALSE,2,NA,2021-12-06 13:59:24,TRUE,NA,"1467856202830946306",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","afbeckmd",1,FALSE,FALSE,NA,NA
"RT @monkey449: Think about this…5-year old child getting covid 💉 &amp; boosters every 6 months will end up with 150 shots of mRNA by age 80. Po…",FALSE,0,NA,2021-12-06 13:59:14,FALSE,NA,"1467856157855281154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NatishNatash",1,TRUE,FALSE,NA,NA
"RT @WeAreChangeNYC: HUGE! Deranged Oligarch Unleashing Nationwide Chaos! — Hive 

#soros #canada #covid19 #vaccine #joerogan #biden #lukewe…",FALSE,0,NA,2021-12-06 13:59:09,FALSE,NA,"1467856139194875905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JacquelineWxxx",4,TRUE,FALSE,NA,NA
"RT @AmerMedicalAssn: All adults can -- and should -- get a #COVID19 #vaccine booster shot. Here's what you need to know for your patients.…",FALSE,0,NA,2021-12-06 13:58:21,FALSE,NA,"1467855935297265665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pmcollins1",348,TRUE,FALSE,NA,NA
"RT @TracktheVax: With #Omicron you may be wondering if your prior #covid infection will protect you... @Bob_Wachter @UCSFDOM compares #Natu…",FALSE,0,NA,2021-12-06 13:58:20,FALSE,NA,"1467855933778927617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SerenaMarsh",1,TRUE,FALSE,NA,NA
"RT @mojos55: I cannot comprehend how people can be sacked from their work... due to not taking a #Vaccine when they already have 2 years  o…",FALSE,0,NA,2021-12-06 13:58:01,FALSE,NA,"1467855854951088139",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","60Sparkle",3,TRUE,FALSE,NA,NA
"RT @DwightEvansPA: Proud to support the Bangladesh community in West Philly with a #vaccination clinic at their masjid yesterday. Get the #…",FALSE,0,NA,2021-12-06 13:57:42,FALSE,NA,"1467855773686505475",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GreenFireHVAC",4,TRUE,FALSE,NA,NA
"RT @faaaal: The WHO Whistler Blower - It's All Fake https://t.co/IVfd9RiCc5 

#CST #vaccine #passport #Global #Technocrats #Pfizer #Holocau…",FALSE,0,NA,2021-12-06 13:57:27,FALSE,NA,"1467855710813888513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JacquelineWxxx",0,TRUE,FALSE,NA,NA
"@nypost The COVID virus are the tools,  the media are the manipulators and the evil politicians are the enforcers.… https://t.co/OznvTr4BwA",FALSE,1,"nypost",2021-12-06 13:57:17,TRUE,"1467855304973066246","1467855667168186368","17469289","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rose78787",0,FALSE,FALSE,NA,NA
"RT @DaveOnze: @MoetiTshidi @DrTedros @WHO @UNICEF @unicefchief It's time to think outside of the injection #vaccine! You need to support @V…",FALSE,0,NA,2021-12-06 13:57:16,FALSE,NA,"1467855663325859842",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bodybydave",2,TRUE,FALSE,NA,NA
"Translated from Portuguese… she posted a quote from Yale master epidemiologist, #HarveyRisch , and Twitter censored… https://t.co/4sbCmoe5cR",FALSE,0,NA,2021-12-06 13:56:30,TRUE,NA,"1467855470748700678",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GraveRoller",0,FALSE,FALSE,NA,NA
"@EU_Commission Transportation was urgent. So were recovery hospitals.  But #vaccination triggered aggressive… https://t.co/5KA99dEy6D",FALSE,0,"EU_Commission",2021-12-06 13:56:08,TRUE,"1467819092564451333","1467855379673534471","157981564","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","De7Prov",1,FALSE,FALSE,NA,NA
"RT @jjaranaz94: ""En 'stand-by(e)'"" (#TEVDAdeVerano):

https://t.co/OqJWFKOCTI

#FinEstadoDeAlarma #ToqueDeQueda #Mascarilla #Covid19 #Covid…",FALSE,0,NA,2021-12-06 13:56:06,FALSE,NA,"1467855372551663620",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jjaranaz94",36,TRUE,FALSE,NA,NA
"RT @DrNinaRadcliff: Joining @JrzyJoePiscopo on @am970TheAnswer to discuss what we know at this point and time about the #Omicron #variant.…",FALSE,0,NA,2021-12-06 13:56:03,FALSE,NA,"1467855359519821826",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","509spider",4,TRUE,FALSE,NA,NA
"RT @HubBucket: 🇺🇸 @POTUS @JoeBiden outlined his Plan to Fight #COVID19 this Winter

✅ Expand Booster Access
✅ Expand #Vaccine Access for Ki…",FALSE,0,NA,2021-12-06 13:54:34,FALSE,NA,"1467854987053223937",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProsumerSoft",3,TRUE,FALSE,NA,NA
"RT @EfjusikayOuefef: #Karma is still a #Bitch
This was a doctor who derided those exercising caution… dead at age 52. 
He received his thir…",FALSE,0,NA,2021-12-06 13:54:16,FALSE,NA,"1467854909949321224",NA,"<a href=""https://twitter.com/FreeBet13"" rel=""nofollow"">Retweetteuse</a>","4Tchat",1,TRUE,FALSE,NA,NA
"RT @LucMmontagnier: Shocking claims from French Nobel prize winner Luc Montagnier...
#COVID19 
#Vaccine
#Deathwithin2years
#Corona
#LucMont…",FALSE,0,NA,2021-12-06 13:54:11,FALSE,NA,"1467854887799369730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmyMarieCollin1",421,TRUE,FALSE,NA,NA
"@AnthonySabatini 💥The COVID-19 are the tools,  the media are the manipulators and the evil politicians are the enfo… https://t.co/QPRaclwYef",FALSE,0,"AnthonySabatini",2021-12-06 13:54:08,TRUE,"1467852459406209025","1467854875669458946","3231657095","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rose78787",1,FALSE,FALSE,NA,NA
"@michaelgwaltz The COVID virus are the tools,  the media are the manipulators and the evil politicians are the enfo… https://t.co/p1B8er16uX",FALSE,0,"michaelgwaltz",2021-12-06 13:53:11,TRUE,"1467854325179424777","1467854636082413569","833673914","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rose78787",0,FALSE,FALSE,NA,NA
"RT @mojos55: I cannot comprehend how people can be sacked from their work... due to not taking a #Vaccine when they already have 2 years  o…",FALSE,0,NA,2021-12-06 13:53:05,FALSE,NA,"1467854612875128842",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mojos55",3,TRUE,FALSE,NA,NA
"I cannot comprehend how people can be sacked from their work... due to not taking a #Vaccine when they already have… https://t.co/NiOURHqcA2",FALSE,2,NA,2021-12-06 13:53:00,TRUE,NA,"1467854592629260290",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mojos55",3,FALSE,FALSE,NA,NA
"RT @CNBCTV18News: 'WHO’s SAGE committee to meet on Dec 16 to assess EUA for Serum's Covovax, dossiers being examined,' says WHO Chief Scien…",FALSE,0,NA,2021-12-06 13:52:34,FALSE,NA,"1467854480750219275",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrVuhere",16,TRUE,FALSE,NA,NA
"RT @LarryTaunton: Passing an airport TV (on #CNN of course) and saw this headline. If true, this man is my comedic hero. #vaccine #vaccinep…",FALSE,0,NA,2021-12-06 13:52:21,FALSE,NA,"1467854427998470144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","REALtomdidymus",4,TRUE,FALSE,NA,NA
"RT @DrNinaRadcliff: Joining @JrzyJoePiscopo on @am970TheAnswer to discuss what we know at this point and time about the #Omicron #variant.…",FALSE,0,NA,2021-12-06 13:51:29,FALSE,NA,"1467854208711942151",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jmh3rdone",4,TRUE,FALSE,NA,NA
"RT @DwightEvansPA: Proud to support the Bangladesh community in West Philly with a #vaccination clinic at their masjid yesterday. Get the #…",FALSE,0,NA,2021-12-06 13:51:27,FALSE,NA,"1467854201330016265",NA,"<a href=""https://nathandharris.com"" rel=""nofollow"">All 435 Reps</a>","All435Reps",4,TRUE,FALSE,NA,NA
"Proud to support the Bangladesh community in West Philly with a #vaccination clinic at their masjid yesterday. Get… https://t.co/YVvGgfbrlQ",FALSE,6,NA,2021-12-06 13:51:22,TRUE,NA,"1467854178827517955",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DwightEvansPA",4,FALSE,FALSE,NA,NA
"@ResisterForever @Gopack28 @GOPNoMor @resist_will @loyashelley @psharif @jpoptrix @hulibob @Meidas_G @theresepaz… https://t.co/N8IDNzd0kV",FALSE,2,"ResisterForever",2021-12-06 13:51:04,TRUE,"1467584747136299013","1467854102646464521","745161748731203584","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TXWomenRESIST",0,FALSE,FALSE,NA,NA
"#NYC Mayor  #de_Blasio Calls for Private Sector #Covid #Vaccine Mandate as Cases Rise https://t.co/uw6oJcZd3M",FALSE,0,NA,2021-12-06 13:50:16,FALSE,NA,"1467853902469074948",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OSHAReporter",0,FALSE,FALSE,NA,NA
"I'ma leave this right here. This is not worth dying for. #COVID19 #Vaccine
https://t.co/hN53yxxrd1",FALSE,0,NA,2021-12-06 13:49:40,FALSE,NA,"1467853752795373572",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrKNwan",0,FALSE,FALSE,NA,NA
"RT @legionxgroup: 🚨#AustraliaHasFallen🚨 (Christine Anderson / EU-Parliament Member #Expose #NWO AGENDA) #ConspiracyTheories #corruption #De…",FALSE,0,NA,2021-12-06 13:49:39,FALSE,NA,"1467853749095907337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","guterkrypt",89,TRUE,FALSE,NA,NA
"Eminem was wrong, you don’t 
“only get one shot!”
I’d like to speak to his publicist asap 
#covid #vaccine",FALSE,0,NA,2021-12-06 13:49:04,FALSE,NA,"1467853599443197954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thegaaary",0,FALSE,FALSE,NA,NA
"RT @NikkeiAsia: The Nikkei COVID-19 Recovery Index ranks more than 120 countries and regions on infection management, #vaccine rollouts and…",FALSE,0,NA,2021-12-06 13:48:04,FALSE,NA,"1467853349449965574",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HueleNgKabite",23,TRUE,FALSE,NA,NA
"RT @vaccineflstate: ✅ Orlando 🚨 Children ages 5-11 are eligible to receive the Pfizer #COVID19 #vaccine at Barnett Park 4801 W. Colonial Dr…",FALSE,0,NA,2021-12-06 13:47:53,FALSE,NA,"1467853301228126215",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vaccineflstate",1,TRUE,FALSE,NA,NA
"🗓️ 12.05.2021

🇺🇸 U.S. Population = 333,453,090

⬆️ 235,698,738 Americans got ONE #Vaccine Shot

⬆️ 198,962,520 Ame… https://t.co/Xou3eagRu1",FALSE,3,NA,2021-12-06 13:47:38,TRUE,NA,"1467853239165014016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProsumerSoft",2,FALSE,FALSE,NA,NA
"Cramer!😂🤣💉🤡 #CrazyTalk #Covid #Vaccine https://t.co/k8CiIFcpIu",FALSE,1,NA,2021-12-06 13:46:52,FALSE,NA,"1467853048248778762",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_aquariusmac",0,FALSE,FALSE,NA,NA
"HEY #NY, there’s still time to get #vaccinated against #flu❗ For Nat'l Flu Vaccination Week (DEC 5-11) visit… https://t.co/VXs5iy2atA",FALSE,0,NA,2021-12-06 13:45:13,TRUE,NA,"1467852632161243143",NA,"<a href=""https://app.sendible.com"" rel=""nofollow"">Sendible</a>","RFK_CERC",0,FALSE,FALSE,NA,NA
"The black market for fake #vaccine certificates has expanded globally, particularly as countries consider vaccine m… https://t.co/q5RnZ03OiP",FALSE,0,NA,2021-12-06 13:45:03,TRUE,NA,"1467852588758491141",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","CHKPAfrica",0,FALSE,FALSE,NA,NA
"#Karma is still a #Bitch
This was a doctor who derided those exercising caution… dead at age 52. 
He received his t… https://t.co/bWECTC14Wa",FALSE,0,NA,2021-12-06 13:44:43,TRUE,NA,"1467852505438638083",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EfjusikayOuefef",1,FALSE,FALSE,NA,NA
"#BREAKING: @NYCMayor announces all NYC businesses will be subject to #vaccine requirement.

#COVID19 #NYC… https://t.co/Z0zRihAFdb",FALSE,0,NA,2021-12-06 13:44:36,TRUE,NA,"1467852476078567425",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SCrawfordTV",0,FALSE,FALSE,NA,NA
"RT @CNBCTV18News: 'WHO’s SAGE committee to meet on Dec 16 to assess EUA for Serum's Covovax, dossiers being examined,' says WHO Chief Scien…",FALSE,0,NA,2021-12-06 13:44:26,FALSE,NA,"1467852434630455299",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skatiq3",16,TRUE,FALSE,NA,NA
"RT @Rishi_IHA: Jan 2021-Ham BJP ka vaccine nahi lagwayenge it is not safe.
Apr 2021-Vaccine bahar kyun becha India
Aug21- Pfizer ko allow k…",FALSE,0,NA,2021-12-06 13:44:20,FALSE,NA,"1467852407707033601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ganga645",4,TRUE,FALSE,NA,NA
"RT @CNBCTV18News: 'WHO’s SAGE committee to meet on Dec 16 to assess EUA for Serum's Covovax, dossiers being examined,' says WHO Chief Scien…",FALSE,0,NA,2021-12-06 13:44:11,FALSE,NA,"1467852372789526531",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SaltedWax",16,TRUE,FALSE,NA,NA
"#COVID19 contributed to an extra 14 million cases of #malaria in 2020 and an additional 69,000 more deaths. That's… https://t.co/J3RsO1e5yB",FALSE,0,NA,2021-12-06 13:44:10,TRUE,NA,"1467852366892437505",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProfKatieEwer",0,FALSE,FALSE,NA,NA
"RT @Jerusalem_Post: New York City Mayor Bill de Blasio said on Monday he plans to issue a COVID-19 vaccine mandate for private-sector emplo…",FALSE,0,NA,2021-12-06 13:43:52,FALSE,NA,"1467852291126575113",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HeiSchonin",2,TRUE,FALSE,NA,NA
"RT @CNBCTV18News: 'WHO’s SAGE committee to meet on Dec 16 to assess EUA for Serum's Covovax, dossiers being examined,' says WHO Chief Scien…",FALSE,0,NA,2021-12-06 13:43:44,FALSE,NA,"1467852259891593227",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CanadianDude111",16,TRUE,FALSE,NA,NA
"RT @CNBCTV18News: 'WHO’s SAGE committee to meet on Dec 16 to assess EUA for Serum's Covovax, dossiers being examined,' says WHO Chief Scien…",FALSE,0,NA,2021-12-06 13:43:13,FALSE,NA,"1467852129369047044",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bulbuzator",16,TRUE,FALSE,NA,NA
"#Breaking:  No recommendation on booster shots by the National Technical Advisory Group on Immunisation (NTAGI) in… https://t.co/irWGKAMQAW",FALSE,0,NA,2021-12-06 13:42:35,TRUE,NA,"1467851968488034307",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","uniindianews",0,FALSE,FALSE,NA,NA
"BREAKING: Biden hiring unemployed Antifa activists as National Socialist Vaccine Police • Genesius Times #vaccine… https://t.co/jp7EwJpzZS",FALSE,1,NA,2021-12-06 13:42:27,TRUE,NA,"1467851936204529665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Genesius_Times",0,FALSE,FALSE,NA,NA
"New York City Mayor Bill de Blasio said on Monday he plans to issue a COVID-19 vaccine mandate for private-sector e… https://t.co/OV0zHA1uCC",FALSE,7,NA,2021-12-06 13:41:43,TRUE,NA,"1467851751567106051",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jerusalem_Post",2,FALSE,FALSE,NA,NA
"@CodyBontecou That's what happens when you operate heavy
machinery without proper #COVID19 protection!
Nobody in th… https://t.co/tB2czgcMHy",FALSE,0,"CodyBontecou",2021-12-06 13:41:41,TRUE,"1454869565549146115","1467851742058590209","2402393732","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ddragovic90",0,FALSE,FALSE,NA,NA
"#Lol 
Too funny…
Someone changed the #QRcode &amp; it linked to a #vaccine harm information site https://t.co/0CtqVvadqN",FALSE,0,NA,2021-12-06 13:41:33,FALSE,NA,"1467851708005072898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CerebrumScops",0,FALSE,FALSE,NA,NA
"RT @UAE_Forsan: The #Covid19 #Vaccine Latest Updates in the #UAE 
#ChoosetoVaccinate
#TogetherWeRecover
#اللقاح_طريقنا_للتعافي https://t.co…",FALSE,0,NA,2021-12-06 13:40:48,FALSE,NA,"1467851520297390083",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","m999ad",4,TRUE,FALSE,NA,NA
"Investing in #VaccineEquity means reaching people everywhere—including women who are being left behind in #vaccine… https://t.co/Wyzz1v9Lus",FALSE,2,NA,2021-12-06 13:40:06,TRUE,NA,"1467851344346337284",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","carecanada",0,FALSE,FALSE,NA,NA
"Are the Covid-19 'vaccines' actually vaccines or anti-viral drugs? #COVID19 #vaccine",FALSE,0,NA,2021-12-06 13:39:20,FALSE,NA,"1467851151634833416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","6feethiandrisin",0,FALSE,FALSE,NA,NA
"RT @SECTION27news: #VACCINE SITES FOR #UNDOCUMENTED PERSONS | The following mobile #vaccination pop-up sites will be providing access to #C…",FALSE,0,NA,2021-12-06 13:39:11,FALSE,NA,"1467851115261841422",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b_razaan",34,TRUE,FALSE,NA,NA
"RT @OffGuardian0: The Greek gov't care's SO MUCH about protecting the elderly that they are docking their pensions if they don't get the #v…",FALSE,0,NA,2021-12-06 13:39:10,FALSE,NA,"1467851107712094208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","highonup",37,TRUE,FALSE,NA,NA
"So what do you do when you're in Peru on Friday and proof of vaccination is required to go inside public places and… https://t.co/u9H4c253Oi",FALSE,0,NA,2021-12-06 13:38:58,TRUE,NA,"1467851058147958789",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PeruTravelnLife",0,FALSE,FALSE,NA,NA
"RT @DaveOnze: @paimadhu With the accelerated pace of innovation in technology, space fight, aviation, medicine, telecom, internet and robot…",FALSE,0,NA,2021-12-06 13:38:46,FALSE,NA,"1467851007602438149",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cliffjx",2,TRUE,FALSE,NA,NA
